,state,id,city
189,Karnataka,371,Haveri
297,Maharashtra,374,Wardha
190,Karnataka,376,Karwar
184,Karnataka,378,Davangere
183,Karnataka,379,Chitradurga
198,Karnataka,380,Shimoga
181,Karnataka,381,Chickmagaluru
188,Karnataka,382,Hassan
200,Karnataka,383,Udupi
271,Maharashtra,386,Bhandara
273,Maharashtra,387,Chandrapur
275,Maharashtra,388,Gadchiroli
276,Maharashtra,389,Gondia
199,Karnataka,390,Tumakuru
182,Karnataka,391,Chikkaballapura
468,Uttar Pradesh,396,Mathura
458,Uttar Pradesh,408,Kasganj
472,Uttar Pradesh,410,Moradabad
479,Uttar Pradesh,412,Rampur
438,Uttar Pradesh,413,Budaun
435,Uttar Pradesh,415,Bareilly
476,Uttar Pradesh,417,Pilibhit
461,Uttar Pradesh,418,Lakhimpur Kheri
462,Uttar Pradesh,418,Lalitpur
484,Uttar Pradesh,420,Sitapur
430,Uttar Pradesh,421,Bahraich
180,Karnataka,422,Chamarajanagar
432,Uttar Pradesh,423,Balrampur
450,Uttar Pradesh,424,Gonda
444,Uttar Pradesh,425,Faizabad
436,Uttar Pradesh,426,Basti
482,Uttar Pradesh,427,Sant Kabir Nagar
483,Uttar Pradesh,427,Shahjahanpur
451,Uttar Pradesh,428,Gorakhpur
460,Uttar Pradesh,430,Kushinagar
217,Madhya Pradesh,432,Ashoknagar
478,Uttar Pradesh,433,Raebareli
243,Madhya Pradesh,434,Morena
447,Uttar Pradesh,435,Gauriganj
485,Uttar Pradesh,436,Sultanpur
227,Madhya Pradesh,437,Datia
425,Uttar Pradesh,438,Akbarpur
477,Uttar Pradesh,439,Pratapgarh
258,Madhya Pradesh,440,Shivpuri
459,Uttar Pradesh,441,Kaushambi
427,Uttar Pradesh,442,Allahabad
453,Uttar Pradesh,443,Jaunpur
431,Uttar Pradesh,445,Ballia
449,Uttar Pradesh,446,Ghazipur
480,Uttar Pradesh,447,Robertsganj
440,Uttar Pradesh,448,Chandauli
257,Madhya Pradesh,449,Sheopur
471,Uttar Pradesh,450,Mirzapur
487,Uttar Pradesh,451,Varanasi
231,Madhya Pradesh,452,Guna
261,Madhya Pradesh,453,Tikamgarh
233,Madhya Pradesh,454,Harda
246,Madhya Pradesh,455,Panna
251,Madhya Pradesh,456,Sagar
252,Madhya Pradesh,456,Satna
250,Madhya Pradesh,457,Rewa
259,Madhya Pradesh,458,Sidhi
260,Madhya Pradesh,459,Singrauli
255,Madhya Pradesh,460,Shahdol
224,Madhya Pradesh,461,Chhatarpur
89,Delhi,462,Vasant Vihar
86,Delhi,463,Sadar Bazar
88,Delhi,466,Shahdara
84,Delhi,467,Preet Vihar
85,Delhi,467,Rajouri Garden
